郵遞區號,縣市名稱,鄉鎮市區,原始路名,投遞範圍
10058,臺北市,中正區,八德路１段,全
10079,臺北市,中正區,三元街,單全
10070,臺北市,中正區,三元街,雙  48號以下
10079,臺北市,中正區,三元街,雙  50號以上
10068,臺北市,中正區,大埔街,單  15號以上
10068,臺北市,中正區,大埔街,雙  36號以上
10051,臺北市,中正區,中山北路１段,單   3號以下
10041,臺北市,中正區,中山北路１段,雙  48號以下
10051,臺北市,中正區,中山南路,單   5號以下
10041,臺北市,中正區,中山南路,雙  18號以下
10002,臺北市,中正區,中山南路,　   7號
10051,臺北市,中正區,中山南路,　   9號
10048,臺北市,中正區,中山南路,單  11號以上
10001,臺北市,中正區,中山南路,　  20號
10043,臺北市,中正區,中華路１段,單  25之   3號以下
10042,臺北市,中正區,中華路１段,單  27號至  47號
10010,臺北市,中正區,中華路１段,　  49號
10042,臺北市,中正區,中華路１段,單  51號以上
10065,臺北市,中正區,中華路２段,單  79號以下
10066,臺北市,中正區,中華路２段,單  81號至 101號
10068,臺北市,中正區,中華路２段,單 103號至 193號
10069,臺北市,中正區,中華路２段,單 195號至 315號
10067,臺北市,中正區,中華路２段,單 317號至 417號
10072,臺北市,中正區,中華路２段,單 419號以上
10055,臺北市,中正區,丹陽街,全
10051,臺北市,中正區,仁愛路１段,　   1號
10052,臺北市,中正區,仁愛路１段,連   2之   4號以上
10055,臺北市,中正區,仁愛路２段,單  37號以下
10060,臺北市,中正區,仁愛路２段,雙  48號以下
10056,臺北市,中正區,仁愛路２段,單  39號至  49號
10056,臺北市,中正區,仁愛路２段,雙  48之   1號至  64號
10062,臺北市,中正區,仁愛路２段,單  51號以上
10063,臺北市,中正區,仁愛路２段,雙  66號以上
10041,臺北市,中正區,公園路,單  15之   1號以下
10041,臺北市,中正區,公園路,雙  32號以下
10047,臺北市,中正區,公園路,　  15之   2號
10048,臺北市,中正區,公園路,單  15之   3號以上
10047,臺北市,中正區,公園路,雙  34號至  38號
10048,臺北市,中正區,公園路,雙  40號以上
10051,臺北市,中正區,天津街,單  15號以下
10051,臺北市,中正區,天津街,雙  12號以下
10087,臺北市,中正區,水源路,單   9號以下
10086,臺北市,中正區,水源路,　   2號
10087,臺北市,中正區,水源路,雙   4號至  50號
10086,臺北市,中正區,水源路,單  11號至  49號
10081,臺北市,中正區,水源路,單  51號至  69號
10086,臺北市,中正區,水源路,雙  52號至 120號
10082,臺北市,中正區,水源路,單  71號至  85號
10083,臺北市,中正區,水源路,單  87號至 153號
10081,臺北市,中正區,水源路,雙 122號至 140號
10083,臺北市,中正區,水源路,雙 142號至 156號
10071,臺北市,中正區,水源路,單 155號至 179號
10087,臺北市,中正區,水源路臨,　   2號
10041,臺北市,中正區,北平西路,全
10051,臺北市,中正區,北平東路,單  11號以下
10051,臺北市,中正區,北平東路,雙   8號以下
10049,臺北市,中正區,北平東路,雙  10號以上
10049,臺北市,中正區,北平東路,單  13號以上
10041,臺北市,中正區,市民大道１段,　 100號
10051,臺北市,中正區,市民大道２段,雙全
10058,臺北市,中正區,市民大道３段,雙  84號以下
10086,臺北市,中正區,永春街,單 129號以下
10086,臺北市,中正區,永春街,雙 154號以下
10087,臺北市,中正區,永春街,單 131號以上
10087,臺北市,中正區,永春街,雙 156號以上
10043,臺北市,中正區,永綏街,全
10068,臺北市,中正區,汀州路１段,單  11號至  47號
10068,臺北市,中正區,汀州路１段,雙  20號至  80號
10069,臺北市,中正區,汀州路１段,單  49號至 123號
10070,臺北市,中正區,汀州路１段,雙  82號至  90號
10067,臺北市,中正區,汀州路１段,　  92巷全
10070,臺北市,中正區,汀州路１段,雙  94號至 138號
10079,臺北市,中正區,汀州路１段,單 125號至 165號
10067,臺北市,中正區,汀州路１段,　 140巷全
10070,臺北市,中正區,汀州路１段,雙 142號至 158號
10073,臺北市,中正區,汀州路１段,雙 160號至 304號
10073,臺北市,中正區,汀州路１段,單 167號至 215號
10071,臺北市,中正區,汀州路１段,單 217號以上
10071,臺北市,中正區,汀州路１段,雙 306號以上
10077,臺北市,中正區,汀州路２段,單  81號以下
10077,臺北市,中正區,汀州路２段,雙  14號以下
10083,臺北市,中正區,汀州路２段,雙  16號至  34號
10080,臺北市,中正區,汀州路２段,雙  36號至 160號
10078,臺北市,中正區,汀州路２段,單  83號至 141號
10085,臺北市,中正區,汀州路２段,單 143號至 267號
10081,臺北市,中正區,汀州路２段,雙 162號至 216號
10088,臺北市,中正區,汀州路２段,雙 218號以上
10088,臺北市,中正區,汀州路２段,單 269號以上
10086,臺北市,中正區,汀州路３段,單  55號以下
10087,臺北市,中正區,汀州路３段,雙  36號以下
10086,臺北市,中正區,汀州路３段,雙  38號至  40號
10087,臺北市,中正區,汀州路３段,雙  42號至  74號
10090,臺北市,中正區,汀州路３段,單  57號至 209號
10091,臺北市,中正區,汀州路３段,雙  76號以上
10091,臺北市,中正區,汀州路３段,單 211號以上
10084,臺北市,中正區,同安街,單  27號以下
10084,臺北市,中正區,同安街,雙   4號以下
10085,臺北市,中正區,同安街,雙   6號至  26號
10082,臺北市,中正區,同安街,　  28巷全
